the_geom,objectid,stop_uid,stop_agency,stop_id,stop_name,lat,lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
POINT (-117.225253999814 33.289260000306),"5,239",NCTD_21699,NCTD,21699,Hwy 76 & Camino Del Rey,33.28926,-117.225254,21699.0,0,,,F-N/B,miscam
POINT (-117.090831370467 32.658396440078),"1,947",MTS_12532,MTS,12532,Highland Av & 30th St,32.65839644,-117.09083137,12532.0,0,,1.0,N-N/B,high30
POINT (-117.146401100416 32.753688689998),"3,404",MTS_13553,MTS,13553,Park Bl & Howard Av,32.75368869,-117.1464011,13553.0,0,,0.0,F-S/B,
POINT (-117.245383000185 33.203375000148),"6,128",NCTD_92032,NCTD,92032,Vista Transit Center Stall 7,33.203375,-117.245383,92032.0,0,visttc,,M-TC-Bus,visttc
POINT (-117.051836329703 32.604782489866),"1,969",MTS_30650,MTS,30650,Hilltop Dr & East Rienstra St,32.60478249,-117.05183633,30650.0,0,,1.0,N-N/B,
POINT (-116.995361000202 33.322462999706),"5,416",NCTD_22037,NCTD,22037,Hwy 76 & Roberts Ranch,33.322463,-116.995361,22037.0,0,,,F-N/B,
POINT (-117.127651869894 32.71178505041),"2,659",MTS_11304,MTS,11304,Market St & 31st St,32.71178505,-117.12765187,11304.0,0,,1.0,F-W/B,
POINT (-116.930967130343 32.848222399902),"4,332",MTS_41031,MTS,41031,Winter Gardens Bl & Knoll Crest Pl,32.8482224,-116.93096713,41031.0,0,,1.0,F-N/B,
POINT (-117.293186999944 33.139359000092),"5,813",NCTD_24116,NCTD,24116,Faraday Av & 1610,33.139359,-117.293187,24116.0,0,,,M-Street-W/B,
POINT (-117.169735629636 32.697620369712),178,MTS_60058,MTS,60058,1st St & B Av,32.69762037,-117.16973563,60058.0,0,,1.0,F-E/B,1stfer
POINT (-117.074698639975 32.584279870043),"3,325",MTS_60195,MTS,60195,Palm Av & Lanao Ln,32.58427987,-117.07469864,60195.0,0,,1.0,F-W/B,
POINT (-117.262543000423 33.059126000177),"5,198",NCTD_21640,NCTD,21640,El Camino Real & Garden View Rd (501),33.059126,-117.262543,21640.0,0,,,F-N/B,ecrgvN
POINT (-117.238183980143 32.868805540045),"1,792",MTS_13279,MTS,13279,Gilman Dr & Evening Way,32.86880554,-117.23818398,13279.0,0,,1.0,F-S/B,
POINT (-117.059648000192 33.129693000152),"5,904",NCTD_24843,NCTD,24843,Grand Av & 1501 Grand Av,33.129693,-117.059648,24843.0,0,,,M-Street-E/B,
