oid_,website,address,district,name,type,phone,zip,city,data_src,update_date
1,https://www.chulavistaca.gov/departments/library,365 F Street,Chula Vista,Civic Center Branch,Public,(619) 691-5069,91910,"Chula Vista, CA",Chula Vista,7/25/2023 14:09:20
2,https://www.chulavistaca.gov/departments/library,389 Orange Avenue,Chula Vista,South Chula Vista Branch,Public,(619) 585-5755,91911,"Chula Vista, CA",Chula Vista,7/25/2023 14:09:25
3,https://coronadolibrary.org/,640 Orange Avenue,Coronado,Coronado Public,Public,(619) 522-7390,92118,"Coronado, CA",City of Coronado website,7/25/2023 13:36:25
4,https://www.escondido.gov/162/Library,239 South Kalmia Street,Escondido,Escondido Public,Public,(760) 839-4683,92025,"Escondido, CA",City of Escondido,9/9/2024 11:14:16
5,https://www.nationalcityca.gov/government/library,1401 National City Blvd,National City,National City Public,Public,(619) 336-4241,91950,"National City, CA",National City Website,9/9/2024 0:00:00
6,https://www.ci.oceanside.ca.us/gov/lib/,330 North Coast Highway,Oceanside,Oceanside Civic Center Library,Public,(760) 435-5600,92054,"Oceanside, CA",City of Oceanside website,3/24/2020 0:00:00
7,https://www.ci.oceanside.ca.us/gov/lib/,3861 B Mission Avenue,Oceanside,Mission Branch,Public,(760) 435-5600,92054,"Oceanside, CA",City of Oceanside website,7/25/2023 0:00:00
8,http://www.sandiego.gov/public-library/,4255 Mt. Abernathy Avenue,San Diego Public (City),Balboa,Public,(858) 573-1390,92117,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
9,http://www.sandiego.gov/public-library/,721 San Pasqual St,San Diego Public (City),Mountain View/Beckwourth,Public,(619) 527-3404,92113,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
10,http://www.sandiego.gov/public-library/,5188 Zion Avenue,San Diego Public (City),Allied Gardens / Benjamin,Public,(619) 533-3970,92120,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
11,http://www.sandiego.gov/public-library/,12095 World Trade Dr.,San Diego Public (City),Carmel Mountain Ranch,Public,(858) 538-8181,92128,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
12,http://www.sandiego.gov/public-library/,3919 Townsgate Drive,San Diego Public (City),Carmel Valley,Public,(858) 552-1668,92130,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
13,http://www.sandiego.gov/public-library/,2920 Burgener Boulevard,San Diego Public (City),Clairemont,Public,(858) 581-9935,92110,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
14,http://www.sandiego.gov/public-library/,4121 Adams Avenue,San Diego Public (City),Kensington - Normal Heights,Public,(619) 533-3974,92116,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
15,http://www.sandiego.gov/public-library/,7555 Draper Ave,San Diego Public (City),La Jolla/Riford,Public,(858) 552-1657,92037,"La Jolla, CA",City of San Diego,7/25/2023 12:56:04
16,http://www.sandiego.gov/public-library/,2160 Ulric Street,San Diego Public (City),Linda Vista,Public,(858) 573-1399,92111,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
17,http://www.sandiego.gov/public-library/,567 South 28th Street,San Diego Public (City),Logan Heights,Public,(619) 533-3968,92113,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
18,http://www.sandiego.gov/public-library/,5148 Market Street,San Diego Public (City),Valencia Park /Malcolm X,Public,(619) 527-3405,92114,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
19,http://www.sandiego.gov/public-library/,8405 New Salem St,San Diego Public (City),Mira Mesa,Public,(858) 538-8165,92126,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
20,http://www.sandiego.gov/public-library/,215 West Washington St,San Diego Public (City),Mission Hills-Hillcrest/Knox,Public,(619) 692-4910,92103,"San Diego, CA",City of San Diego,9/12/2024 12:56:04
21,http://www.sandiego.gov/public-library/,4616 Clairemont Drive,San Diego Public (City),North Clairemont,Public,(858) 581-9931,92117,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
22,http://www.sandiego.gov/public-library/,3795 31st Street,San Diego Public (City),North Park,Public,(619) 533-3972,92104,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
23,http://www.sandiego.gov/public-library/,2802 54th Street,San Diego Public (City),Oak Park,Public,(619) 527-3406,92105,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
24,http://www.sandiego.gov/public-library/,4801 Santa Monica Avenue,San Diego Public (City),Ocean Beach,Public,(619) 531-1532,92107,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
25,http://www.sandiego.gov/public-library/,3003 Coronado Avenue,San Diego Public (City),Otay Mesa/Nestor,Public,(619) 424-0474,92154,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
26,http://www.sandiego.gov/public-library/,5922 Rancho Hills Drive,San Diego Public (City),Paradise Hills,Public,(619) 527-3461,92139,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
27,http://www.sandiego.gov/public-library/,3701 Voltaire Street,San Diego Public (City),Point Loma/Hervey,Public,(619) 531-1539,92107,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
28,http://www.sandiego.gov/public-library/,17110 Bernardo Center Drive,San Diego Public (City),Rancho Bernardo,Public,(858) 538-8163,92128,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
29,http://www.sandiego.gov/public-library/,13330 Salmon River Road,San Diego Public (City),Rancho Penasquitos,Public,(858) 538-8159,92129,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
30,http://www.sandiego.gov/public-library/,7265 Jackson Dr,San Diego Public (City),San Carlos,Public,(619) 527-3430,92119,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
31,http://www.sandiego.gov/public-library/,4235 Beyer Blvd,San Diego Public (City),San Ysidro,Public,(619) 424-0475,92173,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
32,http://www.sandiego.gov/public-library/,10301 Scripps Lake Drive,San Diego Public (City),Scripps Miramar Ranch,Public,(858) 538-8158,92131,"San Diego, CA",City of San Diego,9/9/2024 12:56:04
33,http://www.sandiego.gov/public-library/,9005 Aero Dr,San Diego Public (City),Serra Mesa-Kearny Mesa,Public,(858) 573-1396,92123,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
34,http://www.sandiego.gov/public-library/,7900 Paradise Valley Rd,San Diego Public (City),Skyline Hills,Public,(619) 527-3485,92139,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
35,http://www.sandiego.gov/public-library/,4275 Cass St,San Diego Public (City),Pacific Beach/Taylor,Public,(858) 581-9934,92109,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
36,http://www.sandiego.gov/public-library/,4985 La Cuenta Drive,San Diego Public (City),Tierrasanta,Public,(858) 573-1384,92124,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
37,http://www.sandiego.gov/public-library/,8820 Judicial Dr,San Diego Public (City),North University Community,Public,(858) 581-9637,92112,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
38,http://www.sandiego.gov/public-library/,4193 Park Boulevard,San Diego Public (City),University Heights,Public,(619) 692-4912,92103,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
39,http://www.sandiego.gov/public-library/,3795 Fairmount Ave.,San Diego Public (City),City Heights/Weingart,Public,(619) 641-6100,92105,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
40,http://www.sandiego.gov/public-library/,2123 Fenton Parkway,San Diego Public (City),Mission Valley,Public,(858) 573-5007,92108,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
41,http://www.sandiego.gov/public-library/,6600 Montezuma Road,San Diego Public (City),College-Rolando,Public,(619) 533-3902,92115,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
42,http://www.sandiego.gov/public-library/,4155 Governor Drive,San Diego Public (City),University Community,Public,(858) 552-1655,92122,"San Diego, CA",City of San Diego,7/25/2023 12:56:04
43,https://library.carlsbadca.gov/our-library,1775 Dove Lane,Carlsbad,Carlsbad City Library,Public,(442)339-2049,92011,"Carlsbad, CA",Carlsbad,7/25/2023 17:00:00
