objectid,rec_bldg,name,fac_nm_id,address,zip,sq_ft,year_built,serv_dist,adult_ctr,comfort_st,comp_room,dance_rm,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purp,racquetbll,stage,teen_ctr,tinytot_rm,weight_rm,cd,neighborhd,lat,lon
1,Bay TerracesCommunity & Senior Center,Bay Terraces CP,10997.0,7445 Tooma St,92139,5220.0,2020.0,43,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4,BAY TERRACES,32.6807953626424,-117.03557615834056
2,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Neighbohood Park,10751.0,3901 Landis Steet St,92105,,2019.0,41,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,9,CHEROKEE POINT,32.7457158022284,-117.11032075761244
3,San Ysidro Teen Center,San Ysidro CP,473.0,101 W. San Ysidro Blvd.,92173,4048.0,1924.0,42,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,SAN YSIDRO,32.552678366914016,-117.04428888567236
4,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Community Park,10961.0,5977 Village Loop Rd,92130,17393.0,2019.0,40,0.0,2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,CARMEL VALLEY,32.95998981852963,-117.18718358661884
5,Silver Wing Rec Center,Silver Wing Park,1233.0,3737 Arey Dr,92123,2030.0,1976.0,42,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8,OTAY MESA WEST,32.57776281765363,-117.05345486514904
6,Montgomery-Waller Rec Center,Montgomery-Waller Community Park,9937.0,3020 Coronado Av,92154,10850.0,1991.0,42,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,OTAY MESA WEST,32.57889961936472,-117.06861095796673
7,Stockton Rec Center,"Martin Luther King, Jr. Elementary School",1264.0,330 32nd St,92102,17000.0,1978.0,42,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9,STOCKTON,32.70919014648919,-117.12550340484816
8,Dolores Magdaleno Memorial Rec Center,Memorial Community Park,496.0,2902 Marcy Av,92113,14140.0,1994.0,42,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,8,LOGAN HEIGHTS,32.69780038229515,-117.13054178557444
9,Balboa Park Activity Center,Balboa Park,10263.0,2145 Park Bl,92101,37970.0,1999.0,Balboa Park,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,BALBOA PARK,32.726735591887454,-117.1477334792267
10,Skyline Rec Center,Skyline Community Park,758.0,8285 Skyline Dr,92114,10810.0,1970.0,43,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4,JAMACHA LOMITA,32.70567512429343,-117.02617170452372
11,Robb Field Rec Center,Mission Bay,1027.0,2525 Bacon St,92107,3210.0,1977.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,OCEAN BEACH,32.75430992570211,-117.24140963621412
12,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Comm Park,10305.0,10152 Rancho Carmel Dr,92128,10600.0,1997.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,CARMEL MOUNTAIN,32.966843627892274,-117.0911724939546
13,City Heights Rec Center,City Heights Community Park,1251.0,4380 Landis St,92105,27360.0,1996.0,41,0.0,1,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9,FAIRMOUNT VILLAGE,32.74600511701164,-117.1000103339776
14,Colonel Salomon Rec Center,San Ysidro Comm Activity Center,9807.0,179 Diza Rd,92173,13980.0,1962.0,42,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,8,SAN YSIDRO,32.56508558576903,-117.04556314681577
15,Presidio Rec Center,Presidio Community Park,484.0,2811 Jackson St,92110,5300.0,1946.0,41,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,OLD TOWN,32.75776750558109,-117.19579132091238
16,Kearny Mesa Rec Center,Kearny Mesa Community Park,1074.0,3170 Armstrong St,92111,11140.0,1973.0,45,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7,LINDA VISTA,32.8025548257626,-117.16430848266305
