tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073008331,83.31,Census Tract 83.31,217083.0,2.8,1.4846235418875928,0.0,2766,99.08096697603854
06073008336,83.36,Census Tract 83.36,197841.0,0.3,1.078167115902965,0.0,2086,98.57933079884965
06073008337,83.37,Census Tract 83.37,180496.0,1.9,0.0,0.0,4996,95.36983496395764
06073011601,116.01,Census Tract 116.01,69542.0,20.0,3.265557609365373,9.550215650030808,5796,39.439358746583075
06073011602,116.02,Census Tract 116.02,57303.0,12.4,9.469696969696969,8.181818181818182,3671,40.05495510643217
06073011700,117,Census Tract 117,56045.0,13.7,15.611814345991561,21.74913693901036,7376,7.623089148552075
06073011801,118.01,Census Tract 118.01,61146.0,22.5,5.76241134751773,7.446808510638298,3278,36.79629116013798
06073013307,133.07,Census Tract 133.07,80156.0,21.4,0.0,1.0878010878010878,4538,58.679556951131424
06073013308,133.08,Census Tract 133.08,95725.0,9.8,2.898550724637681,5.797101449275362,3885,60.323142597048935
06073013309,133.09,Census Tract 133.09,140882.0,4.5,0.4746835443037975,2.7426160337552745,7211,80.88936263825737
06073013312,133.12,Census Tract 133.12,97188.0,3.7,18.057142857142857,17.485714285714284,2794,28.695671276696885
06073008343,83.43,Census Tract 83.43,82325.0,26.4,8.498583569405099,0.56657223796034,4165,46.15462422683021
06073008344,83.44,Census Tract 83.44,176680.0,3.7,0.5080440304826418,0.9314140558848433,3460,90.85465920345302
06073008345,83.45,Census Tract 83.45,88095.0,7.7,4.769230769230769,2.358974358974359,4204,65.10076473803653
06073013401,134.01,Census Tract 134.01,134358.0,6.1,1.9693654266958425,2.698760029175784,4670,76.77947932702189
06073013409,134.09,Census Tract 134.09,108590.0,5.2,1.4771048744460855,8.025603151157066,6105,64.24785456122966
06073015601,156.01,Census Tract 156.01,63974.0,16.7,5.148130160271977,2.331228751821272,5912,52.43581205042375
06073015701,157.01,Census Tract 157.01,42750.0,34.3,8.999581414817916,3.097530347425701,6362,27.17494734178888
06073008348,83.48,Census Tract 83.48,150847.0,5.3,5.247465712581992,1.132975551580203,4935,79.52941152857046
06073008349,83.49,Census Tract 83.49,129038.0,7.0,8.12274368231047,1.895306859205776,3822,69.80999865144248
