GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share
Geography,Geographic Area Name,,,,,,,,,
06073000100,Census Tract 1; San Diego County; California,2746.0,360.0,310.0,131.09978150036417,112.89147851420248,211023.0,1103.0,10.0,0.009066183136899365
06073000201,Census Tract 2.01; San Diego County; California,2376.0,355.0,279.0,149.41077441077442,117.42424242424242,110476.0,1258.0,155.0,0.1232114467408585
06073000202,Census Tract 2.02; San Diego County; California,4019.0,344.0,247.0,85.59343120179149,61.45807414779796,121264.0,2253.0,90.0,0.03994673768308921
06073000301,Census Tract 3.01; San Diego County; California,2487.0,92.0,111.0,36.992360273421795,44.632086851628465,79605.0,1368.0,123.0,0.08991228070175439
06073000302,Census Tract 3.02; San Diego County; California,2925.0,85.0,41.0,29.05982905982906,14.017094017094017,89850.0,1773.0,79.0,0.044557247602932885
06073000400,Census Tract 4; San Diego County; California,4079.0,121.0,91.0,29.664133366021083,22.309389556263792,89565.0,2509.0,340.0,0.13551215623754484
06073000500,Census Tract 5; San Diego County; California,2828.0,234.0,161.0,82.74398868458275,56.93069306930693,101875.0,1572.0,139.0,0.08842239185750636
06073000600,Census Tract 6; San Diego County; California,3111.0,61.0,56.0,19.607843137254903,18.00064288010286,99161.0,1879.0,174.0,0.09260244811069718
06073000700,Census Tract 7; San Diego County; California,4371.0,75.0,25.0,17.158544955387782,5.719514985129261,109484.0,2587.0,260.0,0.10050251256281408
06073000800,Census Tract 8; San Diego County; California,5105.0,225.0,107.0,44.07443682664055,20.959843290891282,92348.0,2898.0,139.0,0.04796411318150449
06073000901,Census Tract 9.01; San Diego County; California,3951.0,132.0,127.0,33.40926347760061,32.14376107314604,106133.0,2031.0,230.0,0.11324470704086657
06073000902,Census Tract 9.02; San Diego County; California,2661.0,119.0,108.0,44.72003006388576,40.58624577226607,83678.0,1551.0,245.0,0.1579626047711154
06073001000,Census Tract 10; San Diego County; California,4622.0,392.0,308.0,84.81176979662484,66.63781912591952,86443.0,2603.0,169.0,0.06492508643872455
06073001100,Census Tract 11; San Diego County; California,2939.0,151.0,108.0,51.378019734603605,36.74719292276284,94007.0,1664.0,54.0,0.03245192307692308
06073001201,Census Tract 12.01; San Diego County; California,2290.0,120.0,139.0,52.40174672489083,60.698689956331876,68750.0,1363.0,172.0,0.12619222303741745
06073001202,Census Tract 12.02; San Diego County; California,2966.0,166.0,91.0,55.96763317599461,30.681051921780174,102857.0,1720.0,83.0,0.04825581395348837
06073001301,Census Tract 13.01; San Diego County; California,2713.0,175.0,144.0,64.50423884998158,53.077773682270546,105903.0,1575.0,85.0,0.05396825396825397
06073001302,Census Tract 13.02; San Diego County; California,3245.0,129.0,155.0,39.75346687211094,47.76579352850539,83659.0,2060.0,78.0,0.037864077669902914
06073001400,Census Tract 14; San Diego County; California,3341.0,197.0,105.0,58.96438192158036,31.427716252618975,94156.0,1829.0,137.0,0.07490431930016403
06073001500,Census Tract 15; San Diego County; California,3934.0,266.0,191.0,67.61565836298932,48.5510930350788,110380.0,1979.0,64.0,0.03233956543708944
06073001600,Census Tract 16; San Diego County; California,5065.0,703.0,405.0,138.79565646594276,79.96051332675222,63003.0,2269.0,208.0,0.09167033935654473
06073001700,Census Tract 17; San Diego County; California,4846.0,481.0,663.0,99.25711927362774,136.81386710689227,90404.0,2425.0,107.0,0.044123711340206186
06073001801,Census Tract 18.01; San Diego County; California,1805.0,195.0,147.0,108.03324099722991,81.4404432132964,70682.0,922.0,20.0,0.021691973969631236
06073001802,Census Tract 18.02; San Diego County; California,3248.0,202.0,95.0,62.19211822660098,29.248768472906406,82013.0,1786.0,205.0,0.11478163493840986
06073001900,Census Tract 19; San Diego County; California,3343.0,249.0,139.0,74.48399641040982,41.579419682919536,131619.0,1553.0,123.0,0.07920154539600772
06073002001,Census Tract 20.01; San Diego County; California,3566.0,371.0,292.0,104.03813796971397,81.88446438586652,188306.0,1516.0,14.0,0.009234828496042216
06073002002,Census Tract 20.02; San Diego County; California,2626.0,347.0,174.0,132.14013709063215,66.26047220106626,166605.0,1139.0,42.0,0.03687445127304653
06073002100,Census Tract 21; San Diego County; California,5795.0,576.0,747.0,99.3960310612597,128.90422778257118,76648.0,2670.0,111.0,0.04157303370786517
06073002201,Census Tract 22.01; San Diego County; California,3145.0,531.0,383.0,168.83942766295706,121.78060413354531,40647.0,1425.0,227.0,0.15929824561403508
06073002202,Census Tract 22.02; San Diego County; California,4825.0,1037.0,870.0,214.9222797927461,180.31088082901553,53537.0,1632.0,431.0,0.26409313725490197
06073002301,Census Tract 23.01; San Diego County; California,3190.0,337.0,177.0,105.64263322884013,55.4858934169279,76884.0,1437.0,156.0,0.10855949895615867
06073002302,Census Tract 23.02; San Diego County; California,5882.0,637.0,430.0,108.29649778986739,73.1043862631758,46806.0,2036.0,569.0,0.27946954813359526
06073002401,Census Tract 24.01; San Diego County; California,4314.0,707.0,565.0,163.8850254983774,130.96893834028742,75813.0,1642.0,132.0,0.08038976857490865
06073002402,Census Tract 24.02; San Diego County; California,4951.0,862.0,750.0,174.10624116340134,151.48454857604526,54944.0,1739.0,291.0,0.16733755031627373
06073002501,Census Tract 25.01; San Diego County; California,4878.0,919.0,857.0,188.3968839688397,175.68675686756868,76208.0,1383.0,156.0,0.11279826464208242
06073002502,Census Tract 25.02; San Diego County; California,6932.0,1525.0,1083.0,219.99422965954992,156.23196768609347,94092.0,2349.0,169.0,0.07194550872711793
06073002601,Census Tract 26.01; San Diego County; California,5994.0,1126.0,758.0,187.85452118785452,126.45979312645979,65000.0,1516.0,128.0,0.08443271767810026
06073002602,Census Tract 26.02; San Diego County; California,4655.0,848.0,771.0,182.16970998925885,165.6283566058002,58417.0,1359.0,109.0,0.08020603384841796
06073002702,Census Tract 27.02; San Diego County; California,5559.0,950.0,796.0,170.89404569167115,143.1912214427055,80090.0,1928.0,189.0,0.09802904564315353
06073002703,Census Tract 27.03; San Diego County; California,7082.0,1135.0,936.0,160.26546173397347,132.1660547867834,83644.0,2356.0,21.0,0.008913412563667233
06073002705,Census Tract 27.05; San Diego County; California,4756.0,642.0,429.0,134.98738435660218,90.20185029436502,75703.0,1514.0,108.0,0.071334214002642
06073002707,Census Tract 27.07; San Diego County; California,4980.0,846.0,703.0,169.87951807228916,141.16465863453814,45529.0,1578.0,225.0,0.14258555133079848
06073002708,Census Tract 27.08; San Diego County; California,4789.0,1070.0,721.0,223.42869074963457,150.55335143036123,41119.0,1850.0,384.0,0.20756756756756756
06073002709,Census Tract 27.09; San Diego County; California,3800.0,835.0,546.0,219.73684210526315,143.68421052631578,53520.0,1178.0,174.0,0.14770797962648557
06073002710,Census Tract 27.10; San Diego County; California,3921.0,714.0,620.0,182.0964039785769,158.12292782453457,58636.0,1092.0,123.0,0.11263736263736264
06073002711,Census Tract 27.11; San Diego County; California,3772.0,802.0,649.0,212.61930010604453,172.05726405090138,87011.0,995.0,11.0,0.011055276381909548
06073002712,Census Tract 27.12; San Diego County; California,5566.0,891.0,710.0,160.07905138339922,127.5601868487244,54083.0,1759.0,190.0,0.10801591813530415
06073002801,Census Tract 28.01; San Diego County; California,4477.0,200.0,2630.0,44.67277194549922,587.4469510833147,73795.0,569.0,53.0,0.09314586994727592
06073002803,Census Tract 28.03; San Diego County; California,5207.0,532.0,386.0,102.17015555982331,74.13097753024775,80991.0,2438.0,298.0,0.12223133716160788
06073002804,Census Tract 28.04; San Diego County; California,5541.0,447.0,1013.0,80.67135896047645,182.81898574264574,88156.0,1545.0,19.0,0.012297734627831715
06073002902,Census Tract 29.02; San Diego County; California,5979.0,504.0,410.0,84.29503261414952,68.57334002341528,75729.0,2587.0,145.0,0.056049478160030926
06073002903,Census Tract 29.03; San Diego County; California,4606.0,415.0,232.0,90.0998697351281,50.36908380373426,93344.0,1592.0,91.0,0.0571608040201005
06073002904,Census Tract 29.04; San Diego County; California,9812.0,434.0,2370.0,44.23155320016306,241.5409702405218,45746.0,2488.0,240.0,0.09646302250803858
06073002905,Census Tract 29.05; San Diego County; California,5310.0,615.0,437.0,115.81920903954803,82.29755178907722,74500.0,1918.0,124.0,0.06465067778936393
06073003001,Census Tract 30.01; San Diego County; California,4484.0,625.0,540.0,139.38447814451382,120.42818911685994,91397.0,1145.0,31.0,0.027074235807860263
06073003003,Census Tract 30.03; San Diego County; California,4926.0,760.0,615.0,154.28339423467315,124.84774665042632,84622.0,1587.0,31.0,0.019533711405166982
06073003004,Census Tract 30.04; San Diego County; California,5260.0,913.0,843.0,173.574144486692,160.2661596958175,64815.0,1466.0,104.0,0.07094133697135062
06073003101,Census Tract 31.01; San Diego County; California,3913.0,686.0,562.0,175.31305903398928,143.6238180424227,88229.0,1028.0,22.0,0.021400778210116732
06073003103,Census Tract 31.03; San Diego County; California,6462.0,964.0,691.0,149.17982048901268,106.93283813060972,99919.0,1704.0,90.0,0.0528169014084507
06073003105,Census Tract 31.05; San Diego County; California,4343.0,641.0,453.0,147.5938291503569,104.30577941515082,108068.0,1221.0,8.0,0.006552006552006552
06073003107,Census Tract 31.07; San Diego County; California,5307.0,798.0,604.0,150.36743923120406,113.8119464857735,97105.0,1538.0,62.0,0.04031209362808843
06073003108,Census Tract 31.08; San Diego County; California,3526.0,536.0,404.0,152.0136131593874,114.57742484401588,112837.0,1021.0,54.0,0.05288932419196866
06073003109,Census Tract 31.09; San Diego County; California,3319.0,418.0,352.0,125.94154865923471,106.05604097619765,123368.0,861.0,7.0,0.008130081300813009
06073003111,Census Tract 31.11; San Diego County; California,6211.0,1396.0,1166.0,224.76251811302527,187.73144421188215,46528.0,1828.0,257.0,0.14059080962800874
06073003112,Census Tract 31.12; San Diego County; California,3938.0,742.0,324.0,188.4205180294566,82.27526663280854,85965.0,1161.0,0.0,0.0
06073003113,Census Tract 31.13; San Diego County; California,4719.0,649.0,534.0,137.52913752913753,113.15956770502225,114028.0,1205.0,26.0,0.021576763485477178
06073003114,Census Tract 31.14; San Diego County; California,3482.0,471.0,367.0,135.26708788052844,105.39919586444572,110081.0,894.0,27.0,0.030201342281879196
06073003115,Census Tract 31.15; San Diego County; California,5613.0,925.0,548.0,164.7960092642081,97.63050062355246,85156.0,1655.0,265.0,0.16012084592145015
