category,lat,lon,name,address,city,zip,website,phone,tract_geoid,source_file
Medication_Assisted_Treatment_Locations,32.566195653614784,-117.06009948276309,Precision Park Behavioral Health,"1666 Precision Park Lane, San Ysidro, CA 92173",,,https://www.syhealth.org/clinics/precision-park-behavioral-health-center,,06073010005,Medication_Assisted_Treatment_Locations.geojson
Medication_Assisted_Treatment_Locations,32.566195653614784,-117.06009948276309,Precision Park Behavioral Health,"1666 Precision Park Ln, San Ysidro, CA 92173",,,https://www.syhealth.org/clinics/precision-park-behavioral-health-center,,06073010005,Medication_Assisted_Treatment_Locations.geojson
Medication_Assisted_Treatment_Locations,32.78481975684034,-116.97700226553859,San Ysidro Health Clinic at El Cajon,"875 El Cajon Blvd, El Cajon, CA 92020",,,https://www.syhealth.org/clinics/san-ysidro-health-clinic-at-el-cajon,,06073015902,Medication_Assisted_Treatment_Locations.geojson
Medication_Assisted_Treatment_Locations,32.78481975684034,-116.97700226553859,El Cajon Clinic,"875 El Cajon Boulevard, El Cajon, CA 92020",,,https://www.syhealth.org/clinics/san-ysidro-health-clinic-at-el-cajon,,06073015902,Medication_Assisted_Treatment_Locations.geojson
Parks,32.699751431414676,-117.17124332802038,Coronado Ferry Landing Park,,,,,,06073011000,Parks.geojson
Parks,32.699751431414676,-117.17124332802038,Centennial Park,,,,,,06073011000,Parks.geojson
Recreation_Centers_CN,32.712381214626205,-117.00170053974016,SpringValley REC Club,,Spring Valley,91977,,619-667-6835,06073013908,Recreation_Centers_CN.geojson
Recreation_Centers_CN,32.712381214626205,-117.00170053974016,Spring Valley Gymnasium,,Spring Valley,91977,,619-667-6833,06073013908,Recreation_Centers_CN.geojson
Schools,32.588266378281475,-117.11358876528578,SBUSD Virtual Academy,490 Emory Street,Imperial Beach,91932-1101,,,06073010502,Schools.geojson
Schools,32.588266378281475,-117.11358876528578,Bayside STEAM Academy,490 Emory Street,Imperial Beach,91932-1524,,,06073010502,Schools.geojson
Schools,32.616330183131524,-116.95458712940766,High Tech Middle Chula Vista,1949 Discovery Falls Drive,Chula Vista,91915-2037,,,06073013319,Schools.geojson
Schools,32.616330183131524,-116.95458712940766,High Tech Elementary Chula Vista,1949 Discovery Falls Drive,Chula Vista,91915-2037,,,06073013319,Schools.geojson
Schools,32.62018166494256,-117.04789996167898,Leonardo da Vinci Health Sciences Charter,229 East Naples,Chula Vista,91911-2332,,,06073013301,Schools.geojson
Schools,32.62018166494256,-117.04789996167898,Kellogg (Karl H.) Elementary,229 East Naples Street,Chula Vista,91911-2399,,,06073013301,Schools.geojson
Schools,32.620342065792485,-116.97695752476423,Mater Dei Juan Diego Academy,1615 Mater Dei Drive,Chula Vista,91913,,,06073013318,Schools.geojson
Schools,32.620342065792485,-116.97695752476423,Mater Dei Catholic High School,1615 Mater Dei Drive,Chula Vista,91913,,,06073013318,Schools.geojson
