service_type,org,name,common_name,full_name,address,city,state,zip,lat,lon,acres,use_restriction,dedicated_park,community,service_district,playground,tot_lot,baseball_50_6,baseball_90,softball,multi_purpose,basketball,tennis,sand_vball,comfort_station,pickleball,source
park,City of San Diego Parks & Recreation,Oak Neighborhood Park,OAK PARK NP,Oak Neighborhood Park,"5235 Maple St., 92105",San Diego,CA,92105,32.73254957,-117.08300743,3.48889696,DEDIC PK/OS--ORD.,Y,MID-CITY: EASTERN AREA,41.0,1,0,0,0,1,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,San Carlos Community Park & Recreation Center,SAN CARLOS CP & REC CENTER,San Carlos Community Park & Recreation Center,"6445 Lake Badin Ave., 92119",San Diego,CA,92119,32.798645900000004,-117.02114835,9.78882995,DEDIC PK/OS--ORD.,Y,NAVAJO,45.0,1,1,0,0,2,1,2,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Marcy Neighborhood Park,MARCY NP,Marcy Neighborhood Park,"5526 STRESEMANN ST, 92122",San Diego,CA,92122,32.84513943,-117.22717022,10.88742378,VOTER RATIF. REQ'D,Y,UNIVERSITY,44.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,McCall Street Mini-Park,MCCALL ST MP,McCall Street Mini-Park,"453 SAN ANTONIO AVE, 92106",San Diego,CA,92106,32.71034976,-117.23699943,0.00887759,NONE,N,PENINSULA,0.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Southcrest Trails Neighborhood Park,SOUTH CREST TRAILS NP,Southcrest Trails Neighborhood Park,"3605 BETA ST, 92113",San Diego,CA,92113,32.691294830000004,-117.1153064,5.94584029,PARK PER DEED,N,SOUTHEASTERN SAN DIEGO,43.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Point Loma Community Park,PT LOMA CP,Point Loma Community Park,"1059 CATALINA BLVD, 92106",San Diego,CA,92106,32.72482087,-117.24319333,10.48590977,DEDIC PK/OS--ORD.,,PENINSULA,45.0,0,0,3,0,0,1,0,4,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Sefton Field,SEFTON NP,Sefton Field,"2508 HOTEL CIRCLE PL, 92108",San Diego,CA,92108,32.76175792,-117.19169652999997,21.64826185,DEDICATED PARKLAND,Y,MISSION VALLEY,45.0,0,0,1,3,1,1,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Davis House Mini-Park,DAVIS HOUSE MP,Davis House Mini-Park,"424 ISLAND AVE, 92101",San Diego,CA,92101,32.710595180000006,-117.16073886,0.11856158,NONE,N,DOWNTOWN,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Views West Neighborhood Park,VIEWS WEST NP,Views West Neighborhood Park,"12904 LA TORTOLA, 92129",San Diego,CA,12904,32.95504919,-117.11588009,19.45276066,NONE,N,RANCHO PEÑASQUITOS,40.0,1,1,1,0,1,1,1,0,1,1,3,Parks_SD
park,City of San Diego Parks & Recreation,La Jolla Strand Park,LA JOLLA STRAND NP (Undeveloped),La Jolla Strand Park,"6664 NEPTUNE PL, 92037",San Diego,CA,92037,32.82786165,-117.28003911,1.16395869,DEDIC PK/OS--ORD.,Y,LA JOLLA,0.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
