service_type,org,name,rec_bldg,park_name,address,city,zip,lat,lon,sq_ft,service_district,community,neighborhood,teen_ctr,multi_purp,multi_purpose,adult_ctr,comfort_st,comfort_station,dance_rm,dance_room,tinytot_rm,tiny_tot_room,weight_rm,weight_room,source
rec_center,City of San Diego Parks & Recreation,Hourglass Rec Center,Hourglass Rec Center,Mira Mesa Communty College,10440 Black Mountain Rd,San Diego,92126,32.90843510563245,-117.1199266162646,25000.0,44.0,MIRA MESA,MIRA MESA,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Encanto Rec Center,Encanto Rec Center,Encanto Community Park,6508 Wunderlin Av,San Diego,92114,32.714737597852,-117.0577529614486,9890.0,43.0,ENCANTO,ENCANTO,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Encanto Teen Center,Encanto Teen Center,Encanto Community Park,6508 Wunderlin Av,San Diego,92114,32.715606430412365,-117.05682267803742,1220.0,43.0,ENCANTO,ENCANTO,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Southcrest Rec Center,Southcrest Rec Center,Southcrest Community Park,4149 Newton Av,San Diego,92113,32.69427131368468,-117.10459424081246,10620.0,43.0,SOUTHEASTERN SAN DIEGO,SOUTHCREST,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,San Ysidro Teen Center,San Ysidro Teen Center,San Ysidro CP,101 W. San Ysidro Blvd.,San Diego,92173,32.552678366914016,-117.04428888567236,4048.0,42.0,SAN YSIDRO,SAN YSIDRO,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Serra Mesa Rec Center,Serra Mesa Rec Center,Serra Mesa Community Park,9020 Village Glen Dr,San Diego,92123,32.80537746106929,-117.13317149803537,10710.0,45.0,SERRA MESA,SERRA MESA,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,La Jolla Rec Center,La Jolla Rec Center,La Jolla Community Park,615 Prospect St,San Diego,92037,32.84334955099366,-117.2777901284521,9160.0,44.0,LA JOLLA,LA JOLLA,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Tecolote Rec Center,Tecolote Rec Center,Tecolote Community Park,4675 Tecolote Rd,San Diego,92110,32.774870026272545,-117.20020437210664,1700.0,44.0,LINDA VISTA,MORENA,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Ocean Beach Rec Center,Ocean Beach Rec Center,Ocean Beach Community Park,4726 Santa Monica Av,San Diego,92107,32.7450178096028,-117.24547725621947,10090.0,45.0,OCEAN BEACH,OCEAN BEACH,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Presidio Rec Center,Presidio Rec Center,Presidio Community Park,2811 Jackson St,San Diego,92110,32.75776750558109,-117.19579132091238,5300.0,41.0,OLD TOWN SAN DIEGO,OLD TOWN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
