stop_id,stop_name,stop_lat,stop_lon,stop_agency,wheelchair_boarding
10001,Cabrillo National Monument,32.67445793,-117.24042573,MTS,1
10003,Pearl St & Draper Av,32.83957829,-117.27618677,MTS,1
10004,Pearl St & Fay Av,32.84012848,-117.2738099,MTS,1
10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.26867322,MTS,1
10007,Torrey Pines Rd & Princess St,32.8488256,-117.26258543,MTS,0
10011,Garnet Av & Everts St,32.79810093,-117.24825013,MTS,1
10012,Grand Av & Fanuel St,32.79652904,-117.24583394,MTS,1
10013,Garnet Av & Haines St,32.79929398,-117.24277358,MTS,1
10015,Garnet Av & Ingraham St,32.79965017,-117.24120249,MTS,1
10016,Garnet Av & Jewell St,32.80012359,-117.23906319,MTS,1
10020,Voltaire St & Mendocino St,32.74506671,-117.23574899,MTS,1
10023,Garnet Av & Lamont St,32.80087716,-117.23556667,MTS,1
10024,Voltaire St & San Clemente St,32.74286905,-117.23353563,MTS,1
10025,Garnet Av & Noyes St,32.80171291,-117.23174882,MTS,1
10026,Chatsworth Bl & Tennyson St,32.73814733,-117.22970402,MTS,1
10027,Voltaire St & Poinsettia Dr,32.74025595,-117.22929493,MTS,1
10029,West Point Loma Bl & Adrian St,32.75266115,-117.22673314,MTS,1
10031,Nimitz Bl & Rosecrans St,32.72894289,-117.22653531,MTS,0
10032,Grand Av & Culver St,32.80091313,-117.22584945,MTS,1
10033,West Point Loma Bl & Loma Riviera Dr,32.75360029,-117.22364151,MTS,1
10034,Nobel Dr & Lebon Dr,32.86829317,-117.22518325,MTS,1
10036,Garnet Av & Bond St,32.805504,-117.22121375,MTS,1
10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938,MTS,1
10040,Midway Dr & Duke St,32.75392997,-117.21814068,MTS,1
10043,Midway Dr & Kemper St,32.75243625,-117.21584744,MTS,1
10044,Grand Av & Mission Bay Dr,32.8022735,-117.21783906,MTS,1
10045,Balboa Av & Moraga Av,32.80774389,-117.21069667,MTS,2
10048,Morena Bl & Frankfort St,32.77468641,-117.20621403,MTS,1
10049,Governor Dr & Radcliffe Dr,32.85434508,-117.20610593,MTS,1
10050,Morena Bl & Knoxville St,32.77332666,-117.20398373,MTS,1
10051,Clairemont Dr & Merrimac Av,32.83307178,-117.20286671,MTS,1
10062,Linda Vista Rd & Colusa St,32.76890946,-117.19113779,MTS,1
10064,Taylor St & I-8 East (Ramp),32.75925323,-117.19050442,MTS,2
10073,Clairemont Mesa Bl & Longford St,32.83432122,-117.18285491,MTS,1
10074,Miramar Rd & Miramar Mall,32.8768838,-117.18299026,MTS,1
10075,N Harbor Dr & Laurel St (Coast Guard),32.72778181,-117.18228648,MTS,1
10076,Lewis St & Stephens St,32.75171067,-117.17861058,MTS,0
10077,Clairemont Mesa Bl & Limerick Av,32.83427737,-117.17919188,MTS,1
10080,Lewis St & Ingalls St,32.7517283,-117.1751663,MTS,0
10085,Miramar Rd & Milch Rd,32.87793669,-117.16865659,MTS,1
10086,Broadway & State St,32.7155689,-117.1666847,MTS,1
10088,Washington St & Albatross St,32.74977421,-117.16631202,MTS,1
10090,Broadway & Front St,32.71559826,-117.1649521,MTS,0
10091,Clairemont Mesa Bl & Shawline St (Kaiser),32.83281806,-117.16295729,MTS,1
10092,University Av & 3rd Av,32.74819693,-117.1629261,MTS,1
10093,Genesee Av & Richland St,32.79116236,-117.1632153,MTS,1
10094,Broadway & 3rd Av,32.71561383,-117.16210744,MTS,0
10095,Miramar Rd & Distribution Av,32.87896273,-117.16260879,MTS,1
10097,Broadway & 5th Av,32.71566019,-117.16029699,MTS,0
10098,University Av & 5th Av,32.74820876,-117.16058122,MTS,1
10099,Broadway & 6th Av,32.71566351,-117.15947446,MTS,0
10100,Camino De La Reina & Camino Del Arroyo,32.76674662,-117.15846313,MTS,1
10105,Market St & 10th Av,32.71143588,-117.15579614,MTS,0
10106,University Av & 10th Av,32.74831789,-117.15546302,MTS,1
