GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,services_ct,transit_stop_ct,services_ct_per_1k_10_19,services_ct_per_1k_5_17
06073000100,Census Tract 1; San Diego County; California,2746.0,360.0,310.0,131.09978150036417,112.89147851420248,7.0,7.0,22.580645161290324,19.444444444444443
06073000201,Census Tract 2.01; San Diego County; California,2376.0,355.0,279.0,149.41077441077442,117.42424242424242,7.0,7.0,25.089605734767026,19.718309859154928
06073000202,Census Tract 2.02; San Diego County; California,4019.0,344.0,247.0,85.59343120179149,61.45807414779796,11.0,11.0,44.534412955465584,31.976744186046513
06073000301,Census Tract 3.01; San Diego County; California,2487.0,92.0,111.0,36.992360273421795,44.632086851628465,7.0,7.0,63.06306306306306,76.08695652173913
06073000302,Census Tract 3.02; San Diego County; California,2925.0,85.0,41.0,29.05982905982906,14.017094017094015,10.0,10.0,243.90243902439025,117.6470588235294
06073000400,Census Tract 4; San Diego County; California,4079.0,121.0,91.0,29.664133366021083,22.309389556263792,13.0,13.0,142.85714285714286,107.43801652892562
06073000500,Census Tract 5; San Diego County; California,2828.0,234.0,161.0,82.74398868458275,56.93069306930693,3.0,3.0,18.633540372670808,12.820512820512821
06073000600,Census Tract 6; San Diego County; California,3111.0,61.0,56.0,19.607843137254903,18.00064288010286,10.0,10.0,178.57142857142858,163.9344262295082
06073000700,Census Tract 7; San Diego County; California,4371.0,75.0,25.0,17.158544955387782,5.719514985129261,8.0,8.0,320.0,106.66666666666667
06073000800,Census Tract 8; San Diego County; California,5105.0,225.0,107.0,44.07443682664055,20.95984329089128,4.0,4.0,37.38317757009346,17.77777777777778
06073000901,Census Tract 9.01; San Diego County; California,3951.0,132.0,127.0,33.40926347760061,32.14376107314604,6.0,6.0,47.24409448818898,45.45454545454545
06073000902,Census Tract 9.02; San Diego County; California,2661.0,119.0,108.0,44.72003006388576,40.58624577226607,7.0,7.0,64.81481481481481,58.8235294117647
06073001000,Census Tract 10; San Diego County; California,4622.0,392.0,308.0,84.81176979662484,66.63781912591952,15.0,15.0,48.701298701298704,38.265306122448976
06073001100,Census Tract 11; San Diego County; California,2939.0,151.0,108.0,51.378019734603605,36.74719292276284,8.0,8.0,74.07407407407408,52.980132450331126
06073001201,Census Tract 12.01; San Diego County; California,2290.0,120.0,139.0,52.40174672489083,60.69868995633187,5.0,5.0,35.97122302158273,41.666666666666664
06073001202,Census Tract 12.02; San Diego County; California,2966.0,166.0,91.0,55.96763317599461,30.681051921780178,2.0,2.0,21.978021978021978,12.048192771084338
06073001301,Census Tract 13.01; San Diego County; California,2713.0,175.0,144.0,64.50423884998158,53.077773682270546,10.0,10.0,69.44444444444444,57.142857142857146
06073001302,Census Tract 13.02; San Diego County; California,3245.0,129.0,155.0,39.75346687211094,47.76579352850539,3.0,3.0,19.35483870967742,23.25581395348837
06073001400,Census Tract 14; San Diego County; California,3341.0,197.0,105.0,58.96438192158036,31.427716252618975,7.0,7.0,66.66666666666667,35.53299492385787
06073001500,Census Tract 15; San Diego County; California,3934.0,266.0,191.0,67.61565836298932,48.5510930350788,2.0,2.0,10.471204188481675,7.518796992481203
06073001600,Census Tract 16; San Diego County; California,5065.0,703.0,405.0,138.79565646594276,79.96051332675222,8.0,8.0,19.753086419753085,11.379800853485063
06073001700,Census Tract 17; San Diego County; California,4846.0,481.0,663.0,99.25711927362774,136.81386710689227,4.0,4.0,6.033182503770739,8.316008316008316
06073001801,Census Tract 18.01; San Diego County; California,1805.0,195.0,147.0,108.03324099722992,81.4404432132964,3.0,3.0,20.408163265306122,15.384615384615385
06073001802,Census Tract 18.02; San Diego County; California,3248.0,202.0,95.0,62.19211822660098,29.24876847290641,10.0,10.0,105.26315789473684,49.504950495049506
06073001900,Census Tract 19; San Diego County; California,3343.0,249.0,139.0,74.48399641040982,41.579419682919536,1.0,1.0,7.194244604316546,4.016064257028113
06073002001,Census Tract 20.01; San Diego County; California,3566.0,371.0,292.0,104.03813796971396,81.88446438586652,5.0,5.0,17.123287671232877,13.477088948787062
06073002002,Census Tract 20.02; San Diego County; California,2626.0,347.0,174.0,132.14013709063215,66.26047220106626,2.0,2.0,11.494252873563218,5.763688760806916
06073002100,Census Tract 21; San Diego County; California,5795.0,576.0,747.0,99.3960310612597,128.90422778257118,11.0,11.0,14.725568942436412,19.09722222222222
06073002201,Census Tract 22.01; San Diego County; California,3145.0,531.0,383.0,168.83942766295706,121.78060413354532,4.0,4.0,10.443864229765014,7.532956685499058
06073002202,Census Tract 22.02; San Diego County; California,4825.0,1037.0,870.0,214.9222797927461,180.31088082901553,15.0,15.0,17.24137931034483,14.46480231436837
06073002301,Census Tract 23.01; San Diego County; California,3190.0,337.0,177.0,105.64263322884013,55.4858934169279,5.0,5.0,28.24858757062147,14.836795252225519
06073002302,Census Tract 23.02; San Diego County; California,5882.0,637.0,430.0,108.2964977898674,73.1043862631758,9.0,9.0,20.930232558139537,14.1287284144427
06073002401,Census Tract 24.01; San Diego County; California,4314.0,707.0,565.0,163.8850254983774,130.96893834028742,6.0,6.0,10.619469026548673,8.486562942008486
06073002402,Census Tract 24.02; San Diego County; California,4951.0,862.0,750.0,174.10624116340134,151.48454857604526,11.0,11.0,14.666666666666666,12.761020881670534
06073002501,Census Tract 25.01; San Diego County; California,4878.0,919.0,857.0,188.3968839688397,175.68675686756868,5.0,5.0,5.834305717619603,5.44069640914037
06073002502,Census Tract 25.02; San Diego County; California,6932.0,1525.0,1083.0,219.99422965954992,156.23196768609347,14.0,14.0,12.927054478301015,9.180327868852459
06073002601,Census Tract 26.01; San Diego County; California,5994.0,1126.0,758.0,187.85452118785452,126.4597931264598,8.0,8.0,10.554089709762533,7.104795737122558
06073002602,Census Tract 26.02; San Diego County; California,4655.0,848.0,771.0,182.16970998925885,165.6283566058002,4.0,4.0,5.188067444876784,4.716981132075472
06073002702,Census Tract 27.02; San Diego County; California,5559.0,950.0,796.0,170.89404569167115,143.1912214427055,15.0,15.0,18.844221105527637,15.789473684210526
06073002703,Census Tract 27.03; San Diego County; California,7082.0,1135.0,936.0,160.26546173397347,132.1660547867834,24.0,24.0,25.641025641025642,21.145374449339208
06073002705,Census Tract 27.05; San Diego County; California,4756.0,642.0,429.0,134.98738435660218,90.20185029436502,7.0,7.0,16.317016317016318,10.903426791277258
06073002707,Census Tract 27.07; San Diego County; California,4980.0,846.0,703.0,169.87951807228916,141.16465863453814,4.0,4.0,5.689900426742532,4.7281323877068555
06073002708,Census Tract 27.08; San Diego County; California,4789.0,1070.0,721.0,223.42869074963457,150.55335143036123,8.0,8.0,11.095700416088766,7.4766355140186915
06073002709,Census Tract 27.09; San Diego County; California,3800.0,835.0,546.0,219.73684210526315,143.68421052631578,5.0,5.0,9.157509157509157,5.9880239520958085
06073002710,Census Tract 27.10; San Diego County; California,3921.0,714.0,620.0,182.0964039785769,158.12292782453457,5.0,5.0,8.064516129032258,7.002801120448179
06073002711,Census Tract 27.11; San Diego County; California,3772.0,802.0,649.0,212.61930010604453,172.05726405090138,5.0,5.0,7.704160246533128,6.234413965087282
06073002712,Census Tract 27.12; San Diego County; California,5566.0,891.0,710.0,160.07905138339922,127.5601868487244,21.0,21.0,29.577464788732396,23.569023569023567
06073002801,Census Tract 28.01; San Diego County; California,4477.0,200.0,2630.0,44.67277194549922,587.4469510833147,15.0,15.0,5.7034220532319395,75.0
06073002803,Census Tract 28.03; San Diego County; California,5207.0,532.0,386.0,102.17015555982331,74.13097753024775,12.0,12.0,31.088082901554404,22.55639097744361
06073002804,Census Tract 28.04; San Diego County; California,5541.0,447.0,1013.0,80.67135896047645,182.81898574264576,11.0,11.0,10.85883514313919,24.60850111856823
06073002902,Census Tract 29.02; San Diego County; California,5979.0,504.0,410.0,84.29503261414952,68.57334002341528,11.0,11.0,26.829268292682926,21.825396825396826
06073002903,Census Tract 29.03; San Diego County; California,4606.0,415.0,232.0,90.0998697351281,50.36908380373426,8.0,8.0,34.48275862068966,19.27710843373494
06073002904,Census Tract 29.04; San Diego County; California,9812.0,434.0,2370.0,44.23155320016306,241.5409702405218,18.0,18.0,7.594936708860759,41.474654377880185
06073002905,Census Tract 29.05; San Diego County; California,5310.0,615.0,437.0,115.81920903954804,82.29755178907722,10.0,10.0,22.88329519450801,16.260162601626018
06073003001,Census Tract 30.01; San Diego County; California,4484.0,625.0,540.0,139.38447814451382,120.42818911685994,17.0,17.0,31.48148148148148,27.2
06073003003,Census Tract 30.03; San Diego County; California,4926.0,760.0,615.0,154.28339423467315,124.84774665042632,2.0,2.0,3.252032520325203,2.6315789473684212
06073003004,Census Tract 30.04; San Diego County; California,5260.0,913.0,843.0,173.574144486692,160.2661596958175,12.0,12.0,14.234875444839858,13.143483023001096
06073003101,Census Tract 31.01; San Diego County; California,3913.0,686.0,562.0,175.31305903398928,143.6238180424227,15.0,15.0,26.690391459074732,21.865889212827987
06073003103,Census Tract 31.03; San Diego County; California,6462.0,964.0,691.0,149.17982048901268,106.93283813060972,17.0,17.0,24.602026049204053,17.634854771784234
06073003105,Census Tract 31.05; San Diego County; California,4343.0,641.0,453.0,147.5938291503569,104.30577941515082,21.0,21.0,46.35761589403973,32.761310452418094
06073003107,Census Tract 31.07; San Diego County; California,5307.0,798.0,604.0,150.36743923120406,113.8119464857735,7.0,7.0,11.589403973509933,8.771929824561404
06073003108,Census Tract 31.08; San Diego County; California,3526.0,536.0,404.0,152.0136131593874,114.57742484401588,3.0,3.0,7.425742574257426,5.597014925373134
06073003109,Census Tract 31.09; San Diego County; California,3319.0,418.0,352.0,125.94154865923473,106.05604097619764,5.0,5.0,14.204545454545455,11.961722488038278
06073003111,Census Tract 31.11; San Diego County; California,6211.0,1396.0,1166.0,224.7625181130253,187.73144421188215,14.0,14.0,12.006861063464838,10.02865329512894
06073003112,Census Tract 31.12; San Diego County; California,3938.0,742.0,324.0,188.4205180294566,82.27526663280854,18.0,18.0,55.55555555555556,24.258760107816713
06073003113,Census Tract 31.13; San Diego County; California,4719.0,649.0,534.0,137.52913752913753,113.15956770502224,7.0,7.0,13.108614232209737,10.785824345146379
06073003114,Census Tract 31.14; San Diego County; California,3482.0,471.0,367.0,135.26708788052844,105.39919586444572,7.0,7.0,19.07356948228883,14.8619957537155
06073003115,Census Tract 31.15; San Diego County; California,5613.0,925.0,548.0,164.7960092642081,97.63050062355246,10.0,10.0,18.248175182481752,10.81081081081081
06073003201,Census Tract 32.01; San Diego County; California,5488.0,943.0,680.0,171.82944606413994,123.9067055393586,7.0,7.0,10.294117647058824,7.423117709437964
06073003202,Census Tract 32.02; San Diego County; California,4891.0,770.0,607.0,157.43201799223064,124.10549989777142,3.0,3.0,4.942339373970346,3.896103896103896
06073003204,Census Tract 32.04; San Diego County; California,3605.0,493.0,386.0,136.75450762829405,107.0735090152566,11.0,11.0,28.497409326424872,22.31237322515213
06073003207,Census Tract 32.07; San Diego County; California,5768.0,776.0,308.0,134.53536754507627,53.398058252427184,3.0,3.0,9.74025974025974,3.865979381443299
06073003208,Census Tract 32.08; San Diego County; California,6749.0,1367.0,990.0,202.54852570751223,146.68839828122685,11.0,11.0,11.11111111111111,8.046817849305048
06073003209,Census Tract 32.09; San Diego County; California,5277.0,785.0,652.0,148.75876444949782,123.55505021792683,6.0,6.0,9.202453987730062,7.643312101910828
06073003211,Census Tract 32.11; San Diego County; California,3077.0,514.0,355.0,167.04582385440364,115.37211569710756,1.0,1.0,2.816901408450704,1.9455252918287937
06073003212,Census Tract 32.12; San Diego County; California,3930.0,556.0,446.0,141.47582697201017,113.48600508905852,9.0,9.0,20.179372197309416,16.18705035971223
06073003213,Census Tract 32.13; San Diego County; California,3825.0,486.0,348.0,127.05882352941175,90.98039215686276,2.0,2.0,5.747126436781609,4.11522633744856
06073003214,Census Tract 32.14; San Diego County; California,4587.0,795.0,506.0,173.31589274035318,110.31175059952038,4.0,4.0,7.905138339920948,5.031446540880503
06073003301,Census Tract 33.01; San Diego County; California,3338.0,801.0,459.0,239.96405032953865,137.50748951467943,19.0,19.0,41.39433551198257,23.72034956304619
06073003303,Census Tract 33.03; San Diego County; California,3969.0,730.0,535.0,183.9254220206601,134.79465860418242,8.0,8.0,14.953271028037383,10.95890410958904
06073003304,Census Tract 33.04; San Diego County; California,3164.0,819.0,638.0,258.8495575221239,201.64348925410872,8.0,8.0,12.539184952978056,9.768009768009769
06073003305,Census Tract 33.05; San Diego County; California,6521.0,1809.0,1559.0,277.41143996319585,239.07376169299187,20.0,20.0,12.828736369467608,11.055831951354339
06073003401,Census Tract 34.01; San Diego County; California,5794.0,442.0,308.0,76.2858129099068,53.15843976527442,18.0,18.0,58.44155844155844,40.723981900452486
06073003403,Census Tract 34.03; San Diego County; California,3681.0,615.0,513.0,167.07416462917686,139.3643031784841,8.0,8.0,15.594541910331383,13.008130081300813
06073003404,Census Tract 34.04; San Diego County; California,4595.0,1155.0,885.0,251.3601741022851,192.6006528835691,28.0,28.0,31.638418079096045,24.242424242424242
06073003501,Census Tract 35.01; San Diego County; California,3591.0,709.0,596.0,197.4380395433027,165.97048175995545,16.0,16.0,26.845637583892618,22.566995768688294
06073003502,Census Tract 35.02; San Diego County; California,4655.0,741.0,445.0,159.18367346938774,95.59613319011817,9.0,9.0,20.224719101123597,12.145748987854251
06073003601,Census Tract 36.01; San Diego County; California,3460.0,887.0,584.0,256.35838150289015,168.78612716763007,7.0,7.0,11.986301369863014,7.891770011273957
06073003602,Census Tract 36.02; San Diego County; California,3719.0,841.0,780.0,226.13605808012903,209.73379940844313,5.0,5.0,6.410256410256411,5.945303210463734
06073003603,Census Tract 36.03; San Diego County; California,3176.0,517.0,533.0,162.78337531486147,167.82115869017633,3.0,3.0,5.628517823639775,5.802707930367505
06073003800,Census Tract 38; San Diego County; California,8774.0,9.0,732.0,1.0257579211306131,83.42831091862321,13.0,13.0,17.759562841530055,1444.4444444444443
06073003901,Census Tract 39.01; San Diego County; California,4381.0,943.0,818.0,215.2476603515179,186.71536178954577,9.0,9.0,11.00244498777506,9.544008483563097
06073003902,Census Tract 39.02; San Diego County; California,4257.0,894.0,637.0,210.00704721634955,149.63589382194033,15.0,15.0,23.547880690737834,16.778523489932887
06073004000,Census Tract 40; San Diego County; California,4151.0,939.0,815.0,226.21055167429537,196.3382317513852,11.0,11.0,13.496932515337424,11.714589989350372
06073004101,Census Tract 41.01; San Diego County; California,4163.0,180.0,189.0,43.23804948354552,45.3999519577228,9.0,9.0,47.61904761904762,50.0
06073004102,Census Tract 41.02; San Diego County; California,2169.0,271.0,255.0,124.94236975564776,117.56569847856154,4.0,4.0,15.686274509803921,14.760147601476016
06073004200,Census Tract 42; San Diego County; California,5903.0,926.0,745.0,156.8693884465526,126.20701338302558,0.0,0.0,0.0,0.0
06073004300,Census Tract 43; San Diego County; California,4339.0,551.0,389.0,126.98778520396404,89.6519935469002,5.0,5.0,12.853470437017995,9.074410163339383
06073004400,Census Tract 44; San Diego County; California,4097.0,358.0,274.0,87.3810104954845,66.87820356358311,6.0,6.0,21.8978102189781,16.75977653631285
06073004501,Census Tract 45.01; San Diego County; California,2850.0,160.0,99.0,56.14035087719298,34.73684210526316,7.0,7.0,70.70707070707071,43.75
06073004600,Census Tract 46; San Diego County; California,1996.0,77.0,55.0,38.57715430861723,27.55511022044088,6.0,6.0,109.0909090909091,77.92207792207792
06073004700,Census Tract 47; San Diego County; California,1327.0,99.0,52.0,74.60437076111529,39.18613413715147,5.0,5.0,96.15384615384616,50.505050505050505
06073004800,Census Tract 48; San Diego County; California,3395.0,351.0,267.0,103.38733431516935,78.64506627393226,17.0,17.0,63.670411985018724,48.433048433048434
06073004900,Census Tract 49; San Diego County; California,5166.0,1137.0,735.0,220.0929152148664,142.27642276422765,6.0,6.0,8.16326530612245,5.277044854881266
06073005000,Census Tract 50; San Diego County; California,1897.0,368.0,254.0,193.99051133368476,133.8956246705324,27.0,27.0,106.2992125984252,73.3695652173913
06073005101,Census Tract 51.01; San Diego County; California,3618.0,548.0,318.0,151.46489773355444,87.89386401326699,3.0,3.0,9.433962264150944,5.474452554744525
06073005102,Census Tract 51.02; San Diego County; California,4673.0,0.0,0.0,0.0,0.0,9.0,9.0,,
06073005103,Census Tract 51.03; San Diego County; California,3045.0,451.0,383.0,148.11165845648603,125.7799671592775,22.0,22.0,57.44125326370757,48.78048780487805
06073005201,Census Tract 52.01; San Diego County; California,3207.0,106.0,106.0,33.052697224820704,33.052697224820704,7.0,7.0,66.0377358490566,66.0377358490566
06073005202,Census Tract 52.02; San Diego County; California,5108.0,27.0,19.0,5.2858261550509,3.7196554424432264,22.0,22.0,1157.8947368421052,814.8148148148148
06073005301,Census Tract 53.01; San Diego County; California,3313.0,70.0,142.0,21.12888620585572,42.86145487473589,14.0,14.0,98.59154929577464,200.0
06073005302,Census Tract 53.02; San Diego County; California,4116.0,95.0,128.0,23.08066083576288,31.09815354713314,24.0,24.0,187.5,252.6315789473684
06073005401,Census Tract 54.01; San Diego County; California,1813.0,0.0,0.0,0.0,0.0,3.0,3.0,,
06073005402,Census Tract 54.02; San Diego County; California,4506.0,30.0,49.0,6.657789613848203,10.87438970261873,23.0,23.0,469.38775510204084,766.6666666666666
06073005403,Census Tract 54.03; San Diego County; California,2407.0,23.0,50.0,9.5554632322393,20.77274615704196,9.0,9.0,180.0,391.30434782608694
06073005500,Census Tract 55; San Diego County; California,295.0,40.0,76.0,135.59322033898306,257.6271186440678,2.0,2.0,26.31578947368421,50.0
06073005601,Census Tract 56.01; San Diego County; California,2525.0,116.0,116.0,45.94059405940594,45.94059405940594,4.0,4.0,34.48275862068966,34.48275862068966
06073005602,Census Tract 56.02; San Diego County; California,2117.0,16.0,0.0,7.557864903164856,0.0,10.0,10.0,,625.0
06073005700,Census Tract 57; San Diego County; California,2154.0,43.0,102.0,19.96285979572888,47.353760445682454,9.0,9.0,88.23529411764706,209.30232558139534
06073005801,Census Tract 58.01; San Diego County; California,1703.0,7.0,13.0,4.110393423370523,7.633587786259542,1.0,1.0,76.92307692307692,142.85714285714286
06073005802,Census Tract 58.02; San Diego County; California,2830.0,41.0,0.0,14.487632508833922,0.0,13.0,13.0,,317.0731707317073
06073005900,Census Tract 59; San Diego County; California,3187.0,56.0,68.0,17.571383746470033,21.336680263570756,8.0,8.0,117.6470588235294,142.85714285714286
06073006000,Census Tract 60; San Diego County; California,4431.0,110.0,99.0,24.825095915143308,22.34258632362898,19.0,19.0,191.91919191919192,172.72727272727272
06073006100,Census Tract 61; San Diego County; California,2225.0,267.0,282.0,120.0,126.74157303370788,7.0,7.0,24.822695035460992,26.217228464419474
06073006200,Census Tract 62; San Diego County; California,31.0,0.0,8.0,0.0,258.06451612903226,16.0,16.0,2000.0,
06073006300,Census Tract 63; San Diego County; California,2490.0,33.0,1141.0,13.25301204819277,458.2329317269076,1.0,1.0,0.8764241893076249,30.303030303030305
