tract_geoid,economic_coverage,economic_score,education_score,education_coverage,health_coverage,health_score,housing_coverage,housing_score,safety_env_coverage,safety_env_score,mobility_connectivity_coverage,mobility_connectivity_score,youth_supports_coverage,youth_supports_score,yoi_raw_0_1,yoi_0_100,service_count,services_per_10k,total_population
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008331,1.0,0.8977194194885971,0.5,0.0,1.0,0.8773973048894679,1.0,0.976551724137931,0.0,,1.0,0.9392068015578987,1.0,0.8735793673411227,,,21,75.92190889370933,2766
06073008336,1.0,0.9920525224602627,0.5,0.0,1.0,0.8445464044837084,1.0,0.9413793103448276,0.0,,1.0,0.9503878122922009,1.0,0.08064975776574523,,,1,4.793863854266538,2086
06073008337,1.0,0.9654457498272287,0.5,0.0,1.0,0.7921916432574739,1.0,0.7991379310344828,0.0,,1.0,0.7126937874038188,1.0,0.3604160729552579,,,6,12.009607686148918,4996
06073011601,1.0,0.09882515549412574,0.5,0.0,1.0,0.1970989564249752,1.0,0.06862068965517243,0.0,,1.0,0.09096276242044266,1.0,0.08975325353852,,,2,3.450655624568668,5796
