"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200102_001E","Estimate!!Total:"
"K200102_001M","Margin of Error!!Total:"
"K200102_002E","Estimate!!Total:!!In households:"
"K200102_002M","Margin of Error!!Total:!!In households:"
"K200102_003E","Estimate!!Total:!!In households:!!Under 3 years"
"K200102_003M","Margin of Error!!Total:!!In households:!!Under 3 years"
"K200102_004E","Estimate!!Total:!!In households:!!3 to 5 years"
"K200102_004M","Margin of Error!!Total:!!In households:!!3 to 5 years"
"K200102_005E","Estimate!!Total:!!In households:!!6 to 8 years"
"K200102_005M","Margin of Error!!Total:!!In households:!!6 to 8 years"
"K200102_006E","Estimate!!Total:!!In households:!!9 to 11 years"
"K200102_006M","Margin of Error!!Total:!!In households:!!9 to 11 years"
"K200102_007E","Estimate!!Total:!!In households:!!12 to 14 years"
"K200102_007M","Margin of Error!!Total:!!In households:!!12 to 14 years"
"K200102_008E","Estimate!!Total:!!In households:!!15 to 17 years"
"K200102_008M","Margin of Error!!Total:!!In households:!!15 to 17 years"
"K200102_009E","Estimate!!Total:!!In group quarters"
"K200102_009M","Margin of Error!!Total:!!In group quarters"
